OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species,Class2
Otu318,Fungi,Ascomycota,A_Archaeorhizomycetes,A_Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Unclassified,AO
Otu129,Fungi,Ascomycota,A_Archaeorhizomycetes,A_Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Unclassified,AO
Otu44,Fungi,Ascomycota,A_Arthoniomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,AO
Otu205,Fungi,Ascomycota,A_Candelariomycetes,A_Candelariales,Pycnoraceae,Pycnora,Unclassified,AO
Otu246,Fungi,Ascomycota,A_Dothideomycetes,A_Botryosphaeriales,Botryosphaeriaceae,Phaeobotryon,Phaeobotryon cupressi,A_Dothideomycetes
Otu58,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium grevilleae,A_Dothideomycetes
Otu188,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium sphaerospermum,A_Dothideomycetes
Otu11,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Cladosporiaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu76,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Incertae_sedis,Hispidoconidioma,Hispidoconidioma alpinum,A_Dothideomycetes
Otu92,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Mycosphaerellaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu173,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Mycosphaerellaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu152,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella tassiana,A_Dothideomycetes
Otu10,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella tassiana,A_Dothideomycetes
Otu327,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Teratosphaeriaceae,Teratosphaeria,Unclassified,A_Dothideomycetes
Otu262,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Teratosphaeriaceae,Devriesia,Devriesia pseudoamericana,A_Dothideomycetes
Otu153,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Teratosphaeriaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu150,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Teratosphaeriaceae,Phaeothecoidea,Unclassified,A_Dothideomycetes
Otu148,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Teratosphaeriaceae,Lapidomyces,Lapidomyces hispanicus,A_Dothideomycetes
Otu101,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Teratosphaeriaceae,Xenomeris,Xenomeris sp ,A_Dothideomycetes
Otu55,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu264,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu203,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu117,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu107,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu9,Fungi,Ascomycota,A_Dothideomycetes,A_Capnodiales,Cladosporiaceae,Cladosporium,Unclassified,A_Dothideomycetes
Otu83,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Aureobasidiaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu274,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Aureobasidiaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu75,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Dothideaceae,Celosporium,Unclassified,A_Dothideomycetes
Otu370,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Dothideaceae,Endoconidioma,Endoconidioma populi,A_Dothideomycetes
Otu252,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Dothideaceae,Celosporium,Unclassified,A_Dothideomycetes
Otu123,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Dothideaceae,Dothidea,Dothidea insculpta,A_Dothideomycetes
Otu119,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Dothideaceae,Dothidea,Unclassified,A_Dothideomycetes
Otu59,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Dothioraceae,Sydowia,Sydowia polyspora,A_Dothideomycetes
Otu57,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Dothioraceae,Hormonema,Hormonema macrosporum,A_Dothideomycetes
Otu125,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Dothioraceae,Perusta,Perusta inaequalis,A_Dothideomycetes
Otu37,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu224,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu210,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu181,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu14,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu133,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu127,Fungi,Ascomycota,A_Dothideomycetes,A_Dothideales,Zalariaceae,Zalaria,Unclassified,A_Dothideomycetes
Otu35,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,incertae_sedis,Coniosporium,Unclassified,A_Dothideomycetes
Otu187,Fungi,Ascomycota,A_Dothideomycetes,A_Mycosphaerellales,Teratosphaeriaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu156,Fungi,Ascomycota,A_Dothideomycetes,A_Mycosphaerellales,Teratosphaeriaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu68,Fungi,Ascomycota,A_Dothideomycetes,A_Mycosphaerellales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu139,Fungi,Ascomycota,A_Dothideomycetes,A_Myriangiales,Incertae_sedis,Endosporium,Endosporium,A_Dothideomycetes
Otu88,Fungi,Ascomycota,A_Dothideomycetes,A_Myriangiales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu160,Fungi,Ascomycota,A_Dothideomycetes,A_Myriangiales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu364,Fungi,Ascomycota,A_Dothideomycetes,A_Mytilinidiales,Incertae_sedis,Halokirschsteiniothelia,Halokirschsteiniothelia maritima,A_Dothideomycetes
Otu232,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Didymellaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu20,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Didymellaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu172,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Didymellaceae,Didymella,Unclassified,A_Dothideomycetes
Otu178,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Periconiaceae,Periconia,Unclassified,A_Dothideomycetes
Otu296,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Phaeosphaeriaceae,Unclassified,Unclassified,A_Dothideomycetes
Otu104,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Phaeosphaeriaceae,Sclerostagonospora,Unclassified,A_Dothideomycetes
Otu82,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Alternaria,Unclassified,A_Dothideomycetes
Otu81,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Alternaria,Unclassified,A_Dothideomycetes
Otu5,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Alternaria,Unclassified,A_Dothideomycetes
Otu401,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Curvularia,Unclassified,A_Dothideomycetes
Otu387,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Curvularia,Curvularia hawaiiensis,A_Dothideomycetes
Otu299,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Alternaria,Alternaria rosae,A_Dothideomycetes
Otu216,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Comoclathris,Comoclathris sedi,A_Dothideomycetes
Otu120,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Alternaria,Unclassified,A_Dothideomycetes
Otu108,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Pleosporaceae,Alternaria,Unclassified,A_Dothideomycetes
Otu206,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Sporormiaceae,Sparticola,Sparticola junci,A_Dothideomycetes
Otu199,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Sporormiaceae,Sparticola,Unclassified,A_Dothideomycetes
Otu373,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu363,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu288,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu284,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu209,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu163,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu124,Fungi,Ascomycota,A_Dothideomycetes,A_Pleosporales,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu96,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu95,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu94,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu90,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu89,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu78,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu69,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu398,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu396,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu389,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu368,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu36,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu34,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu332,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu311,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu283,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu267,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu253,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu233,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu214,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu208,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu207,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu196,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu189,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu185,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
Otu122,Fungi,Ascomycota,A_Dothideomycetes,A_Unclassified,Unclassified,Unclassified,Unclassified,A_Dothideomycetes
