,EST170317.8,CLC170316.1,CLC170316.2,CLC170316.12,EST170317.4,CLC170316.8,EST170317.7,EST170317.3,CLC170316.13,CLC170316.3,EST170317.5,CLC170316.18,CLC170316.10,EST170317.1,EST170317.11,EST170317.6,CLC170316.16.D1,CLC170316.16.D2,EST170317.2,CLC170316.4,CLC170316.17,CLC170316.7.NEG,EST170317.10,EST170317.19.NEG,EST170317.9,CLC170316.9.NEG,EST170317.12,CLC170316.19.NEG
Otu10,5,4,43,20,17,11,13,293,26,5,8,1,4,223,9,6,5,5,9,10,14,4,8,14375,2,0,6,10
Otu100,0,0,0,1,1,0,0,1,1,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu101,0,0,219,2,0,0,0,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu102,290,0,0,1,14,4,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu104,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,1,0,0,0,0,0
Otu105,0,0,134,0,0,0,0,19,1,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu107,0,0,1,88,0,0,1,0,85,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Otu108,0,0,217,0,0,0,1,0,0,0,1,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu109,0,0,2,1,0,336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu11,3677,1323,286,762,21,542,15,507,43,9,277,1,3203,513,13,1914,9,9,668,8982,116,4,11,14,3,1,9,173
Otu110,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,278,0,0,0,0,0,0,0,0,0,0,0,0
Otu112,1,0,0,0,0,0,0,0,1,0,0,0,0,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu113,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0
Otu114,0,0,0,3,0,0,1,1,1,0,0,0,0,199,0,75,0,0,0,0,0,0,0,0,0,0,0,1
Otu115,3,498,30,13,10,6,6,7,13,2,8,0,0,6,2,6,2,2,8,3,5989,0,6,1,1,0,2,2
Otu116,0,93,1,1,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu117,0,0,322,122,52,35,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Otu118,0,230,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu119,0,0,128,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Otu12,6599,10,29,46,12,401,275,24,51,6,270,4,1510,78,8,89,7,7,2745,8,22,6,17,9,10413,2,1894,10
Otu120,1,46,159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu122,0,183,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu123,0,1,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Otu124,0,0,0,33,0,2,0,0,1,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Otu125,0,0,112,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu126,0,2,1,1,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu127,0,0,0,1,0,0,120,0,1,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0
Otu128,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0
Otu129,0,0,0,0,1,0,0,0,1,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu13,8,8,15,6,9,7,6,12,23,11013,9,1,2,6,7,4,8,8,8,5,0,0,3,4,2,0,4,3
Otu130,0,0,0,97,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Otu131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,0,0,0,0,0,0,0
