,AVL,ASP,AMF,CBP,CDG,CDS,CWS,EMB,EMF,LMP,SWW
,Apachian Valleys and Low Hills,Arizona Strip Plateaus,Aubrey Montane Forest,Chihuahuan Basin and Playas,Chihuahuan Desert Grassland,Chihuahuan Desert Slopes,Conifer Woodland and Savannah,Eastern Mojave Basin,Eastern Mojave Low Ranges and Arid Footslopes,Lava Malpais,Shivwits Woodland
ANPA,0,0,0,0,2,1,0,0,0,0,1
COTO,2,0,0,0,1,0,3,0,0,6,0
EPFU,1,0,0,0,0,0,5,0,0,1,1
LANO,0,0,0,0,0,0,2,0,0,2,0
MYCA,0,0,0,0,0,0,0,0,2,0,0
MYCI,0,0,0,1,0,0,2,0,0,9,2
MYEV,4,0,0,0,0,0,0,0,0,3,0
MYTH,0,0,0,0,0,3,7,0,0,5,0
MYVE,2,0,0,7,6,2,0,0,0,0,0
MYVO,0,0,0,0,0,0,0,0,0,2,0
PAHE,0,1,0,0,0,0,0,0,1,0,0
TABR,0,0,0,0,8,0,0,0,0,1,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,AVL,ASP,AMF,CBP,CDG,CDS,CWS,EMB,EMF,LMP,SWW
ANPA,0,7,0,0,0,43,0,5,35,192,8
COTO,30,0,0,0,7,8,123,0,0,0,11
EPFU,19,0,0,0,0,0,72,0,0,34,10
LANO,0,0,0,0,0,0,14,0,0,36,6
MYCA,5,0,0,0,9,0,0,0,39,0,13
MYCI,0,1,0,37,0,0,12,0,8,82,12
MYEV,15,0,0,17,0,0,0,0,0,53,0
MYTH,0,0,7,15,0,42,59,0,0,8,0
MYVE,10,0,0,90,31,113,0,0,0,0,0
MYVO,0,0,6,0,0,0,16,0,0,20,0
PAHE,0,8,0,0,0,20,0,0,28,0,0
TABR,0,0,0,0,41,14,0,0,0,14,14
