taxon,strain,accession,
Kitasatospora arborophila               ,HKI 0189T              ,AY442267,
Kitasatospora atroaurantiaca         ,NRRL B-24282T            ,DQ026645,
Kitasatospora azatica                   ,NBRC 13803T               ,AF050493,
Kitasatospora cineracea              ,SK-3255T                 ,AB022875,
Kitasatospora cochleata                 ,NBRC 14768T              ,AB184619   ,
Kitasatospora cystarginea               ,JCM 7356T               ,U93318,
Kitasatospora gansuensis               ,HKI 0314T                ,AY442265,
Kitasatospora griseola                  ,NBRC 14371T      ,AB022870,
Kitasatospora kazusensis,SK60T,AB278569,
Kitasatospora kifunensis                ,NBRC 15206T               ,AB022874,
Kitasatospora mediocidica               ,NBRC 14789T               ,U93324,
Kitasatospora niigatensis               ,NBRC 16453T              ,AB249960   ,
Kitasatospora nipponensis               ,HKI 0315T                ,AY442263,
Kitasatospora paracochleata             ,14769T,U93328,
Kitasatospora phosalacinea              ,JCM 3340T                ,U93330,
Kitasatospora setae                     ,NBRC 14216T              ,AB184576   ,
Kitasatospora terrestris                ,HKI 0186T                ,AY442266,
Kitasatospora viridis                   ,52108aT                   ,AY613990   ,
Streptacidiphilus albus                 ,DSM 41753T               ,AF074415   ,
Streptacidiphilus anmyonensis           ,AM-11T              ,DQ904546,
Streptacidiphilus carbonis              ,DSM 41754T               ,AF074412   ,
Streptacidiphilus jiangxiensis          ,33214T            ,AY314780, 
Streptomyces abikoensis                 ,NBRC 13860T              ,AB184537   ,
Streptomyces aburaviensis               ,NRRL B-2218T             ,AY999779,
Streptomyces acidiscabies               ,ATCC 49003T              ,AB026220,
Streptomyces acrimycini,NBRC 12736T,AB184110,
Streptomyces aculeolatus                ,NBRC 14824T              ,AB184624   ,
Streptomyces afghaniensis               ,ISP 5228T,AJ399483,
Streptomyces alanosinicus              ,NRRL B-3627T              ,HQ426712,
Streptomyces albaduncus                 ,JCM 4715T                ,AY999757,
Streptomyces albiaxialis                ,NRRL B-24327T       ,AY999901,
Streptomyces albiflaviniger             ,NRRL B-1356T             ,AJ391812,
Streptomyces albireticuli               ,JCM 4116T                ,AY999748,
Streptomyces alboflavus                 ,NRRL B-2373T             ,EF178699,
Streptomyces albolongus                 ,JCM 4716T                ,AY999756,
Streptomyces alboniger                  ,JCM 4309T                ,AY999769,
Streptomyces albospinus                 ,JCM 3399T                ,AY999753,
Streptomyces albosporeus subsp. labilomyceticus,NRRL B-24296T            ,EF626593   ,
Streptomyces alboverticillatus          ,JCM 5010T                ,AY999766,
Streptomyces albovinaceus               ,JCM 4343T                ,AY999759,
Streptomyces alboviridis                ,JCM 4449T                ,AY999760,
Streptomyces albus subsp. albus         ,NRRL B-2365T             ,DQ026669,
Streptomyces aldersoniae,NRRL 18513T,EU170123,
Streptomyces almquistii                 ,NBRC 13015T              ,AB184258   ,
Streptomyces amakusaensis               ,NRRL B-3351T             ,AY999781,
Streptomyces ambofaciens                ,ATCC 23877T,M27245,
Streptomyces anandii                    ,NRRL B-3590T        ,AY999803,
Streptomyces angustmyceticus,NRRL B-2347T             ,DQ442509,
Streptomyces anthrocyanicus             ,NBRC 14892T,AB184631   ,
Streptomyces antibioticus               ,NRRL B-1701T             ,AY999776,
Streptomyces antimycoticus              ,KCTC 9694T          ,AY999831,
Streptomyces anulatus             ,NRRL B-2000T             ,DQ026637,
Streptomyces aomiensis,NBRC 106164T,AB522686,
Streptomyces arabicus                   ,NBRC 3406T,AB184763,
