id	Cluster	Type	From	To	Most similar known cluster	MIBiG BGC-ID	Similarity
AC550_RSS872	Region 5.1	NRPS	"141,973"	"202,668"	arginomycin	Other	10
AC550_RSS872	Region 10.1	"NRPS,butyrolactone"	1	"62,178"	"(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid"	NRP	6
AC550_RSS872	Region 15.1	"bacteriocin,lanthipeptide,NRPS-like,T1PKS,siderophore"	"13,852"	"75,976"	informatipeptin	RiPP:Lanthipeptide	100
AC550_RSS872	Region 19.1	siderophore	"121,684"	"134,835"	grincamycin	Polyketide:Type II + Saccharide:Hybrid/tailoring	8
AC550_RSS872	Region 25.1	terpene	"267,266"	"293,914"	hopene	Terpene	92
AC550_RSS872	Region 26.1	"T1PKS,other"	1	"19,555"	amycomicin	Polyketide	25
AC550_RSS872	Region 27.1	"NRPS,ladderane,melanin"	"7,666"	"64,762"	ishigamide	NRP + Polyketide	55
AC550_RSS872	Region 27.2	siderophore	"164,024"	"175,796"	desferrioxamin B / desferrioxamine E	Other	83
AC550_RSS872	Region 28.1	"NRPS,T1PKS"	"50,838"	"109,578"	pyridomycin	NRP + Polyketide	7
AC550_RSS872	Region 32.1	ectoine	"52,858"	"63,262"	ectoine	Other	100
AC550_RSS872	Region 41.1	TfuA-related	"33,645"	"55,773"	thioholgamide A / thioholgamide B	RiPP	36
AC550_RSS872	Region 45.1	"terpene,melanin"	"7,158"	"29,074"	melanin	Other	57
AC550_RSS872	Region 46.1	NRPS	1	"1,910"			
AC550_RSS872	Region 47.1	CDPS	"22,740"	"43,516"			
AC550_RSS872	Region 50.1	T2PKS	1	"33,509"	spore pigment	Polyketide	75
AC550_RSS872	Region 55.1	"lanthipeptide,lassopeptide"	"90,017"	"121,468"	friulimicin A / friulimicin B / friulimicin C / friulimicin D	NRP	6
AC550_RSS872	Region 59.1	"NRPS,T1PKS"	"57,548"	"190,991"	kedarcidin	Polyketide:Iterative type I + Polyketide:Enediyne type I	3
